memid,facid,no_of_slots_booked,starttime
0,0,3,11-07-2012 14:00:00
2,0,3,11-07-2012 15:30:00
2,0,3,11-07-2012 18:30:00
0,1,3,11-07-2012 12:30:00
0,1,3,11-07-2012 16:00:00
1,4,2,11-07-2012 08:00:00
0,4,2,11-07-2012 09:00:00
3,4,2,11-07-2012 11:00:00
0,4,2,11-07-2012 15:00:00
4,5,2,11-07-2012 17:00:00
0,6,2,11-07-2012 14:00:00
0,6,2,11-07-2012 19:30:00
0,7,2,11-07-2012 08:00:00
0,7,2,11-07-2012 14:00:00
0,7,2,11-07-2012 16:30:00
4,8,1,11-07-2012 11:00:00
3,8,1,11-07-2012 13:00:00
0,0,3,12-07-2012 13:30:00
2,0,3,12-07-2012 16:30:00
1,1,3,12-07-2012 11:30:00
1,2,3,12-07-2012 09:00:00
1,2,3,12-07-2012 18:30:00
3,3,2,12-07-2012 18:00:00
1,4,2,12-07-2012 16:00:00
0,6,4,12-07-2012 12:00:00
2,7,2,12-07-2012 08:00:00
4,7,2,12-07-2012 13:30:00
4,7,2,12-07-2012 16:00:00
3,8,1,12-07-2012 16:30:00
2,0,3,13-07-2012 10:30:00
4,0,3,13-07-2012 14:00:00
3,0,3,13-07-2012 17:00:00
1,1,3,13-07-2012 15:00:00
1,2,3,13-07-2012 09:00:00
0,2,3,13-07-2012 15:00:00
1,2,3,13-07-2012 16:30:00
0,4,2,13-07-2012 11:00:00
0,4,2,13-07-2012 13:30:00
0,4,2,13-07-2012 15:00:00
3,4,2,13-07-2012 16:00:00
4,4,2,13-07-2012 17:30:00
0,6,2,13-07-2012 09:30:00
0,7,2,13-07-2012 08:00:00
1,7,2,13-07-2012 11:00:00
4,7,2,13-07-2012 12:30:00
0,8,1,13-07-2012 15:30:00
2,8,1,13-07-2012 18:30:00
2,0,3,14-07-2012 08:30:00
4,0,3,14-07-2012 11:30:00
3,0,3,14-07-2012 15:00:00
3,1,3,14-07-2012 10:30:00
3,1,3,14-07-2012 12:30:00
0,1,3,14-07-2012 14:30:00
1,2,3,14-07-2012 08:30:00
2,3,2,14-07-2012 16:00:00
3,4,2,14-07-2012 08:00:00
1,4,2,14-07-2012 14:30:00
0,6,2,14-07-2012 09:30:00
1,6,2,14-07-2012 12:30:00
0,6,2,14-07-2012 15:00:00
2,7,2,14-07-2012 12:30:00
2,7,2,14-07-2012 15:00:00
4,7,2,14-07-2012 16:30:00
1,7,2,14-07-2012 19:00:00
3,8,1,14-07-2012 09:00:00
1,8,1,14-07-2012 17:00:00
2,0,3,15-07-2012 08:00:00
0,0,3,15-07-2012 16:00:00
2,0,3,15-07-2012 19:00:00
0,1,3,15-07-2012 10:00:00
0,1,3,15-07-2012 12:00:00
3,1,3,15-07-2012 15:30:00
1,2,3,15-07-2012 13:00:00
1,3,2,15-07-2012 17:30:00
3,4,2,15-07-2012 11:30:00
0,4,2,15-07-2012 15:00:00
3,4,2,15-07-2012 17:30:00
4,7,2,15-07-2012 14:30:00
4,7,2,15-07-2012 17:00:00
4,8,1,15-07-2012 10:00:00
2,8,1,15-07-2012 12:00:00
3,8,1,15-07-2012 12:30:00
3,8,1,15-07-2012 13:30:00
5,0,3,16-07-2012 11:00:00
5,0,3,16-07-2012 19:00:00
1,1,3,16-07-2012 08:00:00
0,1,3,16-07-2012 12:30:00
1,2,3,16-07-2012 16:30:00
3,4,2,16-07-2012 09:00:00
1,4,2,16-07-2012 11:00:00
3,4,2,16-07-2012 12:00:00
3,4,2,16-07-2012 17:30:00
0,6,2,16-07-2012 18:30:00
4,7,2,16-07-2012 08:00:00
2,7,2,16-07-2012 11:30:00
4,7,2,16-07-2012 12:30:00
5,7,2,16-07-2012 14:00:00
4,8,1,16-07-2012 12:00:00
1,8,1,16-07-2012 15:00:00
4,8,1,16-07-2012 18:00:00
3,8,1,16-07-2012 19:30:00
5,0,3,17-07-2012 12:30:00
5,0,3,17-07-2012 18:00:00
1,1,3,17-07-2012 10:00:00
4,1,3,17-07-2012 14:30:00
5,2,3,17-07-2012 10:30:00
1,2,3,17-07-2012 12:30:00
1,2,3,17-07-2012 15:30:00
2,2,3,17-07-2012 19:00:00
1,3,2,17-07-2012 14:00:00
2,3,2,17-07-2012 15:00:00
0,4,2,17-07-2012 09:00:00
3,4,2,17-07-2012 10:30:00
3,4,2,17-07-2012 12:00:00
5,4,2,17-07-2012 16:00:00
3,4,2,17-07-2012 18:30:00
0,5,2,17-07-2012 13:30:00
4,6,2,17-07-2012 12:00:00
0,6,2,17-07-2012 14:00:00
4,7,2,17-07-2012 08:00:00
5,7,2,17-07-2012 14:00:00
4,7,2,17-07-2012 16:00:00
3,8,1,17-07-2012 08:30:00
2,8,1,17-07-2012 11:00:00
3,8,1,17-07-2012 11:30:00
3,8,1,17-07-2012 14:30:00
0,8,1,17-07-2012 15:00:00
3,8,1,17-07-2012 15:30:00
3,8,1,17-07-2012 18:00:00
3,8,1,17-07-2012 20:00:00
5,0,3,18-07-2012 13:00:00
5,0,3,18-07-2012 17:30:00
0,1,3,18-07-2012 14:00:00
0,1,3,18-07-2012 16:30:00
1,2,3,18-07-2012 14:00:00
2,3,2,18-07-2012 11:30:00
3,3,2,18-07-2012 19:00:00
1,4,2,18-07-2012 08:30:00
4,4,2,18-07-2012 10:00:00
5,4,2,18-07-2012 19:00:00
0,5,2,18-07-2012 14:30:00
0,6,2,18-07-2012 10:30:00
0,6,2,18-07-2012 13:00:00
0,6,2,18-07-2012 15:00:00
1,6,2,18-07-2012 19:30:00
4,7,2,18-07-2012 08:30:00
4,7,2,18-07-2012 11:00:00
3,8,1,18-07-2012 11:00:00
0,8,1,18-07-2012 13:00:00
3,8,1,18-07-2012 14:30:00
4,8,1,18-07-2012 16:00:00
3,8,1,18-07-2012 16:30:00
4,8,1,18-07-2012 20:00:00
2,0,3,19-07-2012 08:30:00
4,0,3,19-07-2012 10:30:00
5,0,3,19-07-2012 12:00:00
0,0,3,19-07-2012 13:30:00
5,0,3,19-07-2012 16:30:00
1,1,3,19-07-2012 11:30:00
0,1,3,19-07-2012 15:00:00
0,1,3,19-07-2012 18:30:00
1,2,3,19-07-2012 09:30:00
0,2,3,19-07-2012 11:30:00
1,2,3,19-07-2012 14:30:00
2,2,3,19-07-2012 16:00:00
3,3,2,19-07-2012 08:30:00
3,3,2,19-07-2012 17:00:00
3,3,2,19-07-2012 18:30:00
3,4,2,19-07-2012 12:00:00
5,4,2,19-07-2012 14:30:00
0,4,2,19-07-2012 16:30:00
1,4,2,19-07-2012 18:30:00
0,4,2,19-07-2012 19:30:00
0,5,2,19-07-2012 08:30:00
4,6,2,19-07-2012 12:30:00
2,6,2,19-07-2012 14:00:00
0,6,2,19-07-2012 15:00:00
0,6,2,19-07-2012 16:30:00
2,7,2,19-07-2012 13:00:00
0,7,2,19-07-2012 14:00:00
0,7,2,19-07-2012 16:30:00
4,7,4,19-07-2012 17:30:00
3,8,1,19-07-2012 11:00:00
1,8,1,19-07-2012 13:30:00
3,8,1,19-07-2012 14:30:00
3,8,1,19-07-2012 18:00:00
3,8,1,19-07-2012 20:00:00
3,0,3,20-07-2012 08:00:00
5,0,3,20-07-2012 12:00:00
5,0,3,20-07-2012 14:00:00
5,0,3,20-07-2012 17:30:00
0,0,3,20-07-2012 19:00:00
2,1,3,20-07-2012 08:30:00
3,1,3,20-07-2012 12:00:00
4,1,3,20-07-2012 13:30:00
1,2,3,20-07-2012 14:30:00
3,3,2,20-07-2012 15:00:00
1,3,2,20-07-2012 17:30:00
5,4,2,20-07-2012 08:00:00
0,4,2,20-07-2012 13:00:00
1,4,2,20-07-2012 16:30:00
0,4,2,20-07-2012 17:30:00
3,4,2,20-07-2012 18:30:00
0,6,2,20-07-2012 11:00:00
4,6,2,20-07-2012 12:30:00
2,6,2,20-07-2012 15:00:00
0,6,4,20-07-2012 16:00:00
2,7,2,20-07-2012 12:30:00
2,7,2,20-07-2012 16:00:00
4,7,2,20-07-2012 19:30:00
1,8,1,20-07-2012 09:00:00
2,8,1,20-07-2012 12:00:00
3,8,1,20-07-2012 19:30:00
0,0,3,21-07-2012 08:00:00
5,0,3,21-07-2012 11:00:00
5,0,3,21-07-2012 13:30:00
4,0,3,21-07-2012 15:30:00
1,1,3,21-07-2012 09:30:00
0,1,3,21-07-2012 11:00:00
0,2,3,21-07-2012 10:30:00
1,2,3,21-07-2012 13:30:00
2,3,2,21-07-2012 08:00:00
0,4,2,21-07-2012 09:00:00
3,4,2,21-07-2012 10:30:00
0,4,4,21-07-2012 14:00:00
3,4,2,21-07-2012 16:00:00
1,4,2,21-07-2012 17:00:00
0,4,2,21-07-2012 19:00:00
4,6,2,21-07-2012 08:00:00
0,6,2,21-07-2012 09:30:00
0,6,2,21-07-2012 12:00:00
3,8,1,21-07-2012 09:30:00
3,8,1,21-07-2012 11:30:00
3,8,2,21-07-2012 18:00:00
3,8,1,21-07-2012 19:30:00
5,0,3,22-07-2012 10:00:00
0,0,3,22-07-2012 16:00:00
2,0,3,22-07-2012 18:00:00
0,1,3,22-07-2012 08:30:00
0,1,3,22-07-2012 10:30:00
5,1,3,22-07-2012 18:30:00
1,2,3,22-07-2012 08:30:00
1,2,3,22-07-2012 13:30:00
1,2,3,22-07-2012 16:30:00
3,3,2,22-07-2012 11:30:00
2,3,2,22-07-2012 14:00:00
4,4,2,22-07-2012 08:00:00
3,4,2,22-07-2012 10:30:00
0,4,2,22-07-2012 12:00:00
5,4,2,22-07-2012 13:00:00
0,4,2,22-07-2012 16:30:00
1,4,2,22-07-2012 18:00:00
3,4,2,22-07-2012 19:30:00
4,6,4,22-07-2012 10:30:00
0,6,2,22-07-2012 14:30:00
0,6,2,22-07-2012 16:30:00
2,7,2,22-07-2012 10:30:00
2,7,2,22-07-2012 12:00:00
3,8,1,22-07-2012 16:00:00
3,8,1,22-07-2012 17:00:00
2,8,1,22-07-2012 17:30:00
0,0,3,23-07-2012 09:30:00
0,0,3,23-07-2012 12:00:00
5,0,3,23-07-2012 17:00:00
1,1,3,23-07-2012 10:00:00
4,1,3,23-07-2012 12:30:00
4,1,3,23-07-2012 15:30:00
0,1,3,23-07-2012 17:00:00
4,1,3,23-07-2012 19:00:00
1,2,3,23-07-2012 08:00:00
5,2,3,23-07-2012 11:30:00
1,2,3,23-07-2012 13:00:00
1,2,3,23-07-2012 15:00:00
2,3,2,23-07-2012 09:30:00
2,3,2,23-07-2012 19:00:00
4,4,2,23-07-2012 10:00:00
0,4,2,23-07-2012 16:30:00
3,4,2,23-07-2012 19:00:00
3,5,2,23-07-2012 13:00:00
0,6,2,23-07-2012 13:30:00
0,6,4,23-07-2012 15:00:00
0,6,2,23-07-2012 19:00:00
5,7,2,23-07-2012 16:00:00
4,7,2,23-07-2012 18:00:00
3,8,3,23-07-2012 08:30:00
3,8,1,23-07-2012 11:00:00
3,8,2,23-07-2012 14:00:00
2,8,1,23-07-2012 15:00:00
0,0,3,24-07-2012 11:00:00
4,0,3,24-07-2012 13:00:00
5,0,3,24-07-2012 14:30:00
4,1,3,24-07-2012 11:00:00
0,1,6,24-07-2012 16:00:00
1,1,3,24-07-2012 19:00:00
1,2,3,24-07-2012 09:00:00
2,2,3,24-07-2012 12:30:00
3,3,2,24-07-2012 09:00:00
3,3,2,24-07-2012 17:30:00
0,4,2,24-07-2012 08:30:00
5,4,2,24-07-2012 09:30:00
0,4,2,24-07-2012 11:30:00
1,4,2,24-07-2012 14:30:00
0,4,2,24-07-2012 15:30:00
0,4,2,24-07-2012 17:30:00
0,4,2,24-07-2012 19:30:00
5,5,2,24-07-2012 16:30:00
0,6,2,24-07-2012 09:30:00
0,6,2,24-07-2012 14:30:00
4,7,2,24-07-2012 09:30:00
5,7,2,24-07-2012 11:30:00
2,7,2,24-07-2012 16:30:00
4,7,2,24-07-2012 18:00:00
2,7,2,24-07-2012 19:30:00
3,8,1,24-07-2012 08:30:00
3,8,2,24-07-2012 10:30:00
3,8,1,24-07-2012 12:00:00
3,8,1,24-07-2012 14:00:00
0,8,1,24-07-2012 15:00:00
4,8,1,24-07-2012 16:30:00
0,8,1,24-07-2012 20:00:00
5,0,3,25-07-2012 08:00:00
0,0,3,25-07-2012 12:30:00
0,0,3,25-07-2012 16:30:00
1,1,3,25-07-2012 08:00:00
0,1,3,25-07-2012 10:30:00
4,1,3,25-07-2012 15:00:00
1,2,3,25-07-2012 13:30:00
1,2,3,25-07-2012 17:30:00
2,3,2,25-07-2012 10:00:00
3,3,4,25-07-2012 14:00:00
3,3,2,25-07-2012 17:00:00
2,3,2,25-07-2012 18:30:00
3,4,2,25-07-2012 08:30:00
0,4,4,25-07-2012 09:30:00
3,4,4,25-07-2012 11:30:00
5,4,4,25-07-2012 13:30:00
3,4,2,25-07-2012 16:00:00
3,4,2,25-07-2012 18:00:00
3,4,2,25-07-2012 19:30:00
0,5,2,25-07-2012 18:30:00
4,6,2,25-07-2012 08:30:00
1,6,2,25-07-2012 09:30:00
0,6,2,25-07-2012 12:00:00
0,6,2,25-07-2012 13:30:00
0,6,4,25-07-2012 16:30:00
5,6,2,25-07-2012 19:00:00
5,7,2,25-07-2012 10:30:00
2,7,2,25-07-2012 14:00:00
2,7,2,25-07-2012 16:00:00
3,8,1,25-07-2012 08:00:00
3,8,1,25-07-2012 10:00:00
4,8,1,25-07-2012 14:30:00
1,8,1,25-07-2012 16:00:00
2,8,1,25-07-2012 20:00:00
4,0,3,26-07-2012 09:00:00
0,0,3,26-07-2012 11:30:00
4,0,3,26-07-2012 18:00:00
8,1,3,26-07-2012 08:00:00
8,1,3,26-07-2012 11:30:00
8,1,3,26-07-2012 13:30:00
1,1,3,26-07-2012 15:00:00
0,1,3,26-07-2012 16:30:00
6,1,3,26-07-2012 19:00:00
1,2,3,26-07-2012 08:30:00
2,2,6,26-07-2012 11:00:00
7,2,3,26-07-2012 14:00:00
2,2,3,26-07-2012 17:00:00
3,2,3,26-07-2012 19:00:00
0,3,2,26-07-2012 09:00:00
0,3,2,26-07-2012 13:30:00
3,3,2,26-07-2012 16:00:00
3,4,2,26-07-2012 08:00:00
6,4,2,26-07-2012 09:00:00
0,4,2,26-07-2012 12:00:00
5,4,2,26-07-2012 13:30:00
6,4,2,26-07-2012 16:00:00
7,4,2,26-07-2012 17:30:00
0,6,4,26-07-2012 10:00:00
0,6,2,26-07-2012 13:00:00
0,6,2,26-07-2012 19:00:00
7,7,2,26-07-2012 09:30:00
6,7,2,26-07-2012 11:00:00
5,7,2,26-07-2012 12:30:00
4,7,2,26-07-2012 13:30:00
5,7,2,26-07-2012 17:00:00
3,8,1,26-07-2012 12:00:00
3,8,1,26-07-2012 13:30:00
2,8,1,26-07-2012 15:00:00
1,8,1,26-07-2012 16:30:00
3,8,1,26-07-2012 17:00:00
4,0,3,27-07-2012 08:00:00
5,0,3,27-07-2012 11:00:00
6,0,3,27-07-2012 14:00:00
6,0,3,27-07-2012 17:30:00
0,1,3,27-07-2012 10:00:00
7,1,3,27-07-2012 11:30:00
0,1,3,27-07-2012 13:00:00
0,1,3,27-07-2012 15:00:00
0,1,3,27-07-2012 18:00:00
1,2,6,27-07-2012 12:00:00
0,3,2,27-07-2012 10:30:00
2,3,2,27-07-2012 14:00:00
3,3,2,27-07-2012 19:00:00
1,4,4,27-07-2012 10:00:00
6,4,2,27-07-2012 12:30:00
0,4,4,27-07-2012 14:00:00
0,4,2,27-07-2012 16:30:00
1,4,2,27-07-2012 17:30:00
0,4,2,27-07-2012 18:30:00
7,5,2,27-07-2012 18:00:00
0,6,2,27-07-2012 09:00:00
5,6,2,27-07-2012 14:00:00
8,6,2,27-07-2012 16:30:00
2,7,2,27-07-2012 18:00:00
4,7,2,27-07-2012 19:00:00
3,8,1,27-07-2012 09:00:00
3,8,1,27-07-2012 12:30:00
3,8,1,27-07-2012 16:00:00
6,8,1,27-07-2012 16:30:00
0,8,1,27-07-2012 18:30:00
7,0,9,28-07-2012 08:00:00
4,0,3,28-07-2012 13:00:00
5,0,3,28-07-2012 15:00:00
2,0,3,28-07-2012 19:00:00
1,1,3,28-07-2012 08:00:00
0,1,3,28-07-2012 10:00:00
0,1,3,28-07-2012 16:00:00
7,1,3,28-07-2012 17:30:00
1,2,3,28-07-2012 10:00:00
1,2,3,28-07-2012 14:00:00
1,2,3,28-07-2012 17:00:00
5,2,3,28-07-2012 18:30:00
3,3,2,28-07-2012 08:30:00
3,3,2,28-07-2012 15:30:00
0,4,2,28-07-2012 09:00:00
3,4,4,28-07-2012 10:30:00
0,4,2,28-07-2012 12:30:00
8,4,2,28-07-2012 16:00:00
0,4,2,28-07-2012 19:00:00
0,5,2,28-07-2012 18:00:00
0,6,2,28-07-2012 17:00:00
0,6,2,28-07-2012 18:30:00
2,7,2,28-07-2012 09:00:00
5,7,2,28-07-2012 10:00:00
6,7,2,28-07-2012 12:30:00
8,7,4,28-07-2012 17:00:00
2,8,1,28-07-2012 16:00:00
3,8,1,28-07-2012 16:30:00
4,8,1,28-07-2012 19:00:00
7,0,3,29-07-2012 09:30:00
2,0,3,29-07-2012 11:00:00
6,0,3,29-07-2012 13:00:00
5,0,3,29-07-2012 15:00:00
0,0,3,29-07-2012 17:00:00
8,1,3,29-07-2012 09:30:00
0,1,3,29-07-2012 15:00:00
8,1,3,29-07-2012 16:30:00
1,2,3,29-07-2012 08:30:00
1,2,6,29-07-2012 12:00:00
1,2,3,29-07-2012 15:30:00
3,4,2,29-07-2012 08:00:00
0,4,2,29-07-2012 09:00:00
3,4,2,29-07-2012 10:30:00
8,4,4,29-07-2012 11:30:00
8,4,2,29-07-2012 15:00:00
0,4,2,29-07-2012 18:30:00
0,6,2,29-07-2012 09:00:00
0,6,2,29-07-2012 10:30:00
6,6,4,29-07-2012 17:30:00
4,7,2,29-07-2012 16:00:00
8,7,2,29-07-2012 18:30:00
3,8,1,29-07-2012 12:30:00
7,8,1,29-07-2012 13:00:00
3,8,1,29-07-2012 15:30:00
3,8,1,29-07-2012 18:00:00
5,0,3,30-07-2012 14:00:00
6,0,3,30-07-2012 15:30:00
7,0,3,30-07-2012 19:00:00
8,1,3,30-07-2012 08:30:00
7,1,3,30-07-2012 11:00:00
2,1,3,30-07-2012 13:30:00
1,1,3,30-07-2012 15:30:00
5,2,3,30-07-2012 10:00:00
8,2,3,30-07-2012 11:30:00
7,2,3,30-07-2012 15:00:00
0,2,3,30-07-2012 17:30:00
3,3,2,30-07-2012 11:30:00
4,3,2,30-07-2012 16:30:00
0,4,2,30-07-2012 08:00:00
0,4,2,30-07-2012 10:30:00
0,4,2,30-07-2012 12:00:00
7,4,2,30-07-2012 18:00:00
3,4,2,30-07-2012 19:30:00
0,5,2,30-07-2012 12:30:00
0,5,2,30-07-2012 14:00:00
0,6,2,30-07-2012 08:30:00
0,6,2,30-07-2012 12:00:00
0,6,2,30-07-2012 14:30:00
0,6,2,30-07-2012 17:30:00
7,7,2,30-07-2012 08:00:00
6,7,2,30-07-2012 09:30:00
8,7,2,30-07-2012 14:30:00
5,7,2,30-07-2012 16:30:00
4,7,2,30-07-2012 18:00:00
6,7,2,30-07-2012 19:00:00
3,8,1,30-07-2012 08:30:00
2,8,1,30-07-2012 09:00:00
2,8,1,30-07-2012 11:00:00
2,8,1,30-07-2012 12:30:00
3,8,2,30-07-2012 15:00:00
5,8,1,30-07-2012 16:00:00
2,8,1,30-07-2012 16:30:00
3,8,1,30-07-2012 18:30:00
1,8,1,30-07-2012 19:30:00
7,0,3,31-07-2012 09:30:00
0,0,3,31-07-2012 11:00:00
0,0,3,31-07-2012 15:00:00
5,0,3,31-07-2012 17:00:00
0,0,3,31-07-2012 18:30:00
0,1,3,31-07-2012 08:00:00
7,1,3,31-07-2012 13:00:00
1,2,3,31-07-2012 16:30:00
3,3,2,31-07-2012 08:30:00
1,3,2,31-07-2012 13:00:00
1,3,2,31-07-2012 15:30:00
8,4,2,31-07-2012 09:30:00
0,4,2,31-07-2012 11:00:00
3,4,2,31-07-2012 12:00:00
2,4,2,31-07-2012 13:00:00
3,4,2,31-07-2012 14:00:00
0,4,2,31-07-2012 15:00:00
6,4,2,31-07-2012 17:00:00
7,4,2,31-07-2012 18:30:00
0,4,2,31-07-2012 19:30:00
0,6,2,31-07-2012 09:00:00
5,6,2,31-07-2012 10:00:00
6,6,2,31-07-2012 11:00:00
0,6,2,31-07-2012 14:30:00
6,6,2,31-07-2012 16:00:00
4,7,2,31-07-2012 18:30:00
3,8,1,31-07-2012 10:00:00
3,8,1,31-07-2012 11:30:00
5,8,1,31-07-2012 12:00:00
7,8,1,31-07-2012 12:30:00
8,8,1,31-07-2012 13:30:00
6,8,1,31-07-2012 14:00:00
4,8,1,31-07-2012 17:00:00
2,8,1,31-07-2012 17:30:00
5,0,3,01-08-2012 15:30:00
5,0,3,01-08-2012 18:00:00
8,1,9,01-08-2012 09:00:00
8,1,3,01-08-2012 17:30:00
1,2,6,01-08-2012 09:30:00
1,2,3,01-08-2012 14:30:00
1,2,3,01-08-2012 16:30:00
7,3,2,01-08-2012 13:00:00
5,4,2,01-08-2012 08:00:00
6,4,2,01-08-2012 09:00:00
0,4,6,01-08-2012 10:30:00
3,4,4,01-08-2012 13:30:00
3,4,2,01-08-2012 19:30:00
7,5,2,01-08-2012 08:30:00
0,5,2,01-08-2012 14:30:00
0,6,2,01-08-2012 09:30:00
0,6,4,01-08-2012 11:00:00
6,6,2,01-08-2012 14:30:00
0,6,2,01-08-2012 18:00:00
4,7,2,01-08-2012 12:30:00
2,7,2,01-08-2012 16:00:00
5,7,2,01-08-2012 17:00:00
3,8,2,01-08-2012 08:30:00
2,8,1,01-08-2012 09:30:00
3,8,1,01-08-2012 10:30:00
3,8,1,01-08-2012 11:30:00
8,8,1,01-08-2012 13:30:00
8,8,1,01-08-2012 15:00:00
3,8,1,01-08-2012 17:00:00
8,0,3,02-08-2012 08:00:00
5,0,3,02-08-2012 13:00:00
7,0,3,02-08-2012 15:30:00
5,0,3,02-08-2012 18:30:00
8,1,3,02-08-2012 09:30:00
8,1,3,02-08-2012 12:00:00
0,1,3,02-08-2012 13:30:00
5,1,3,02-08-2012 15:30:00
0,1,3,02-08-2012 18:00:00
1,2,3,02-08-2012 09:30:00
0,2,3,02-08-2012 11:30:00
3,2,3,02-08-2012 14:00:00
1,2,3,02-08-2012 19:00:00
3,3,2,02-08-2012 10:00:00
2,3,2,02-08-2012 15:00:00
3,3,2,02-08-2012 17:00:00
6,3,2,02-08-2012 18:00:00
4,3,2,02-08-2012 19:30:00
4,4,2,02-08-2012 10:00:00
7,4,2,02-08-2012 11:30:00
5,4,2,02-08-2012 14:30:00
8,4,2,02-08-2012 15:30:00
8,4,2,02-08-2012 17:00:00
3,4,2,02-08-2012 18:30:00
0,4,2,02-08-2012 19:30:00
4,6,2,02-08-2012 09:00:00
0,6,2,02-08-2012 10:00:00
0,6,2,02-08-2012 11:30:00
6,6,2,02-08-2012 12:30:00
8,6,2,02-08-2012 14:00:00
0,6,4,02-08-2012 17:00:00
2,6,2,02-08-2012 19:30:00
7,7,2,02-08-2012 08:00:00
5,7,2,02-08-2012 11:00:00
6,7,2,02-08-2012 14:00:00
4,7,2,02-08-2012 16:00:00
0,7,2,02-08-2012 18:00:00
3,8,1,02-08-2012 08:30:00
3,8,1,02-08-2012 13:00:00
7,8,1,02-08-2012 15:00:00
3,8,1,02-08-2012 16:30:00
7,8,1,02-08-2012 17:00:00
3,8,1,02-08-2012 19:30:00
5,0,3,03-08-2012 11:30:00
0,0,3,03-08-2012 16:00:00
6,0,3,03-08-2012 18:30:00
8,1,3,03-08-2012 10:30:00
